Currently open headings: H1:دستورالعمل حساب جاری > H2:فصل چهاردم : سایر موارد

Current chunk:
[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12, bold]: 3 قانون عملیات بانکی بدون ربا ) بهره ( ، ماده 44 ،قانون پولی و بانکی کشور

[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12]: 55

TEXT [font_size=12]: بخشنامه های مدیریت کل مقررات، مجوزهای بانکی و مبارزه با پولشویی سال 1391

TEXT [font_size=12, bold]: قانون صدور چک و ماده7 از قانون مبارزه با پولشویی و به منظور ساماندهی

TEXT [font_size=11, bold]: نحوه بکارگیری حساب جاری و کاهش صدور چک های بلامحل، ” دستورالعمل

TEXT [font_size=11, bold]: حساب جاری “ که از این پس به اختصار ” دستورالعمل “ نامیده می شود، تصویب

TEXT [font_size=12, bold]: می گردد .

TEXT [font_size=11, bold]: ماده2 - در این دستورالعمل عبارات ذیل در معانی مشروح بکار می روند .

TEXT [font_size=10, bold]: 2 - 1 - بانک مرکزی : بانک مرکزی جمهوری اسلامی ایران؛

TEXT [font_size=11, bold]: 2 - 2 - بانک : مؤسسه اعتباری است که به موجب قانون تحت بانک ” “ فعالیت

TEXT [font_size=11, bold]: می نماید و یا تحت عنوان بانک ” “ ، از بانک مرکزی مجوز تأسیس یا فعالیت

TEXT [font_size=12, bold]: دریافت کرد ا ه ست و تحت نظارت بانک مرکزی فعالیت می نماید ؛

TEXT [font_size=10, bold]: 2 - 3 - حساب جاری : حسابی است که بانک براساس قرارداد منعقده با متقاضی، به

TEXT [font_size=12, bold]: منظور قبول سپرده قرض الحسنه جا ری افتتاح می نماید . برداشت و یا انتقال

TEXT [font_size=12, bold]: از این حساب می تواند از طریق چک، دفترچه، کارت های الکترونیکی و یا

TEXT [font_size=12, bold]: سایر ابزارهای مجاز انجام پذیرد؛

TEXT [font_size=10, bold]: 2 - 4 - حساب جاری مشترک : حساب جاری است که بنا به درخواست دو یا چند

TEXT [font_size=12, bold]: شخص افتتاح می شود؛
