Currently open headings: H1:دستورالعمل حساب جاری > H2:فصل نهم : نکات لاز م الرعایه در قرارداد حساب جاری > H3:بخشنامه شماره77969 / 91 مورخ28 / 03 / 1391 ; ابلاغ ضوابط اجرایی تبصره 1 ماده 186 قانون مالیات های مستقیم اصلاحی مصوب 27 / 11 / 1380 > H4:ب ( در صورت وجود بدهی مالیاتی قطعی شد ه، چنانچه مؤدی ظرف سه روز نسبت به پرداخت یا ترتیب پرداخت بدهی مالیاتی خود اقدام نماید، گواهی دال بر مفاصاحساب مالیاتی صادر و به مؤدی تسلیم و یا به مؤسسه اعتباری ارسال نماید . > H5:ماده9 - مؤسسه اعتباری موظف است مفاد این ضوابط را به طرق مقتضی به اطلاع مشتریان خود برساند .

Current chunk:
[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=9, bold]: )کد حساب های : 70 و0060 / 1 / 3 / 5 ( به مبلغ پرداخت شده به سازنده

[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=11, bold]: و ـ ثبت های حسابداری شناسایی سود تسهیلات اعطایی استصناع دوم :

TEXT [font_size=10, bold]: 15 - چنان چه دوره ساخت اموال طی یک دوره مالی شروع و در همان دوره خاتمه

TEXT [font_size=11, bold]: یافته باشد، درآمد مربوط شناسایی و به شرح ذیل در حساب ها ثبت می شود :

TEXT [font_size=11, bold]: بد ـ سود دریافتنی تسهیلات – استصناع دوم به میزان مابه التفاوت مبلغ قراردادهای

TEXT [font_size=9, bold]: )کد حساب : 0797 / 1 / 3 ( اس تصناع اول و دوم

TEXT [font_size=11, bold]: بس ـ سود دریافتی تسهیلات – استصناع دوم به میزان مابه التفاوت مبلغ قراردادهای

TEXT [font_size=9, bold]: )کد حساب : 0770 / 2 / 3 ( استصناع اول و دوم

TEXT [font_size=11, bold]: توضیح : در صورتی که طبق مفاد قرارداد استصناع اول شرایط تحویل اموال به مشتری

TEXT [font_size=12, bold]: اقساطی باشد، ثبت حسابداری فوق باید به میزان مابه التفاوت قیمت نقدی اموال مزبور و

TEXT [font_size=12, bold]: مبلغ قرارداد استصناع دوم در دفاتر اعمال گردد .

TEXT [font_size=12, bold]: 16 - درصورتی که زمان خاتمه قرارداد استصناع دوم به گونه ای باشد که بخشی از آن

TEXT [font_size=12, bold]: مربوط به یک دوره و بخشی دیگر مربوط به دوره / دوره های آینده باشد، بر مبنای

TEXT [font_size=12, bold]: فرض تعهدی، در پایان هر سال یا پایان دوره ای که تهیه صورت های مالی

TEXT [font_size=12, bold]: موردنظر است و یا پایان دوره ساخت اموال، درآمد مربوط به آن دوره باید

TEXT [font_size=12, bold]: شناسایی شود . درآمد یاد شده متناسب با سهم وجوه پرداختی مؤسسه اعتباری
