Currently open headings: H1:بخش اول : بخشنامه های مطالعات و مقررات بانکی > H2:بخشنامه شماره44341 / 91 مورخ24 / 02 / 1391 ; ابلاغ مصوبه جلسه مورخ 14 / 12 / 90 کمیسیون اعتباری بانک مرکزی در خصوص اجرایی نمودن بیمه تسهیلات و پرداخت حق بیمه توسط بانک با هماهنگی شرکت های بیمه > H3:فصل دوم : شرایط افتتاح حساب جاری برای شخص حقیقی > H4:ماده4 - بانک موظف است هنگام افتتاح حساب جاری برای شخص خاص ترتیبی اتخاذ نماید که موقع افتتاح حساب، مهر شخص خاص با امضا ی وکیلی که مجاز به امضای چک از طرف وی است ، به بانک معرفی شود . در این صورت چک های صادره از طرف شخص خاص ، علاوه بر مهر وی مشتمل بر امضای معرفی شده طبق نمونه نیز خواهد بود .

Current chunk:
[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12, bold]: طبق نمونه نیز خواهد بود .

[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12]: 57

TEXT [font_size=12]: بخشنامه های مدیریت کل مقررات، مجوزهای بانکی و مبارزه با پولشویی سال 1391

TEXT [font_size=11, bold]: تبصره ـ چنان چ ه متقاضی که به تشخیص بانک، شخص خاص محسوب می شود

TEXT [font_size=12, bold]: ادعا نماید که شخص خاص محسوب نشده و توانایی ارائه نمونه امضاء و صدور

TEXT [font_size=12, bold]: چک را دارد، می تواند با پذیرش مسئولیت های ناشی از صدور چک و تنظیم

TEXT [font_size=12, bold]: تعهدنامه رسمی، رأسا ً و بدون معرفی وکیل، اقدام به افتتاح حساب جاری و

TEXT [font_size=12, bold]: دریافت دسته چک نماید .

TEXT [font_size=11, bold]: فصل سوم : شرایط افتتاح حساب جاری برای شخص حقوقی

TEXT [font_size=11, bold]: ماده5 - بانک می تواند با رعایت موارد زیر مبادرت به افتتاح حساب جاری برای شخص

TEXT [font_size=12, bold]: حقوقی نماید :

TEXT [font_size=11, bold]: 5 - 1 - دارا بودن شرایط افتتاح حساب جاری برای اشخاص حقیقی عضو هیأت

TEXT [font_size=12, bold]: مدیره و اشخاص حقیقی که به نمایندگی از سایر اشخاص حقوقی در هیأت

TEXT [font_size=12, bold]: مدیره عضو می باشند و همچنین اشخاص حقیقی که به نمایندگی از شخص

TEXT [font_size=11, bold]: حقوقی مجاز به امضاء می باشند، به شرح مذکور در فصل دوم؛

TEXT [font_size=11, bold]: 5 - 2 - شخص حقوقی باید در داخل کشور و در مرجع ثبت شرکت ها به ثبت رسیده

TEXT [font_size=11, bold]: و یا ” شرکت در شرف تأسیس “ باشد؛

TEXT [font_size=10, bold]: 5 - 3 - ارائه مستندات مثبته، در خصوص تأسیس و همچنین اختیارات و وظایف

TEXT [font_size=12, bold]: قانونی صاحبان امضای مجاز شخص حقوقی که به موجب قوانین خاص ایجاد
