Currently open headings: H2:بخشنامه شماره29506 / 91 مورخ10 / 02 / 1391 ; ابلاغ دستورالعمل حسابداری کارت اعتباری بر پایه عقد مرابحه و کارت میزان > H3:دستورالعمل حسابداری کارت اعتباری بر پایه عقد مرابحه > H4:ج ـ ثبت های حسابداری مصرف اعتبار : > H5:ز ـ ثبت های حسابداری تعدیل حساب سود سال های آینده تسهیلات اعطایی مرابحه نسیه دفعی و اقساطی در پایان دوره مالی : > H6:ی- ثبت حسابداری بازپرداخت تسهیلات اعطایی مرابحه نسیه دفعی و اقساطی قبل از سررسید :

Current chunk:
[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12, bold]: رویداد به شرح زیر انجام می شود :

[CONTEXT - already covered by the previous chunk, do NOT emit an operation for this] TEXT [font_size=12]: 32

TEXT [font_size=12]: بخشنامه های مدیریت کل مقررات، مجوزهای بانکی و مبارزه با پولشویی سال 1391

TEXT [font_size=11, bold]: ـ بد صندوق یا حساب مشتری به میزان مبلغ وصولی

TEXT [font_size=9, bold]: )کدحساب : 0010 / 1 / 3 (

TEXT [font_size=11, bold]: ـ بد سود سال های آینده تسهیلات / غیردولتی به میزان سود تسهیلات / اقساط

TEXT [font_size=9, bold]: )کد حساب : 0550 / 2 / 3 ( وصول شده قبل از سررسید

TEXT [font_size=11, bold]: بس ـ تسهیلات اعطایی / مرابحه / غیردولتی ـ کارت مرابحه به میزان سهم مربوط به اصل

TEXT [font_size=9, bold]: )کدحساب : 0575 / 1 / 3 ( ت سهیلات از مبلغ وصولی

TEXT [font_size=11, bold]: بس ـ سود دریافتنی تسهیلات به میزان سهم مربوط به سود تسهیلات

TEXT [font_size=9, bold]: از مبلغ

TEXT [font_size=9, bold]: )کد حساب : 0797 / 1 / 3 ( وصولی

TEXT [font_size=10, bold]: بس ـ سود دریافتی تسهیلات به میزان سود دریافتی یا مابه التفاوت

TEXT [font_size=9, bold]: )کد حساب : 0770 / 2 / 3 (

TEXT [font_size=11, bold]: ک- ثبت حسابداری زمان تسویه قراردادهای مرابحه و صدور کارت مرابحه :

TEXT [font_size=12, bold]: 21 - پس از تسویه کامل قرارداد صدور کارت مرابحه، قراردادهای مزبور به شرح

TEXT [font_size=12, bold]: ذیل از حساب های انتظامی برگشت می شود :

TEXT [font_size=11, bold]: بد ـ طرف حساب های انتظامی به مبلغ یک ریال

TEXT [font_size=9, bold]: )کد حساب : 0200 / 2 / 3 / 5 (

TEXT [font_size=11, bold]: بس ـ حساب های انتظامی ـ قراردادهای مرابحه به مبلغ یک ریال

TEXT [font_size=9, bold]: )کد حساب : 0210 / 3 / 5 (

TEXT [font_size=11, bold]: بد ـ طرف حساب های انتظامی به مبلغ یک ریال

TEXT [font_size=9, bold]: )کد حساب : 0200 / 2 / 3 / 5 (
